course_name,o_summarized,course_code
Master of Human Resource Management,"The Master's degree program ""Deakins Master of Human Resource Management"" is designed to provide enhanced qualifications for graduates who want a formal qualification and meet the needs of senior managers responsible for human resources development and management in organizations across various industries such as business, government, industry. The course includes units that are highly relevant to these areas including employment relations, HR strategy, leadership & management training with an option to complement primary studies by taking up specializations related to a wide range of fields like Business Administration or Government Management for career advancement and transferrable skills in future job applications.",M782
Graduate Certificate of Business (Arts and Cultural Management),"The Graduate Certificate of Business (Arts & Cultural Management) is a short-term course that teaches practical business skills to individuals interested in pursuing careers within the arts and cultural management sectors. The program offers four core units from Deakin's Master of Arts degree with advisory boards made up of industry experts who develop assessments, projects, content reflecting challenges faced by this field during COVID-19 pandemic. It is a popular option for those looking to gain experience before proceeding into master degrees in arts and cultural management education.",M519
Master of Teaching English to Speakers of Other Languages,"The Master of Teaching English (to Speakers of Other Languages) is an internationally recognized and taught by experts with global experience who are equipped with teaching skills to lead non-native speakers towards mastery over the language. The course focuses on research-led learning in areas such as principles and approaches for TEOLs, structure of languages including analysis features written texts, pedagogical aspects, linguistic/pedagogic factors affecting learners' acquisition of English, contemporary issues related to curriculum development with a focus on structural barriers new speakers face when acquiring the language. The course also offers research opportunities that may lead towards further education in areas such as PhDs and pathways for higher-level roles both domestically and internationally through this program's recognition by international organizations like CELTA (Council of Teachers Abroad).",E704
Graduate Certificate of Business (Sport Management),"The Graduate Certificate of Sport and Exercise Science is designed for individuals who are interested or already have a background in sport science research but want to gain practical experience through internships with sports organisations such as the Australian Institute of Sports (AIS), AFL Australia, NRL National Rugby League Commission, Cricket Council of New Zealand.",M518
Graduate Certificate of Sustainability,"The Graduate Certificate of Sustainability is a program designed for individuals with an interest or background in sustainability to develop their skillset through hands-on projects and workshops that focus on environmental science, global change issues such as climate change and biodiversity loss, sustainable development practices including green building design principles. The certificate aims at providing students the knowledge necessary to measure and report complex sustainability challenges while identifying cost effective solutions balancing economic considerations with social responsibility in a responsible manner for future generations' well-being",S527
Graduate Diploma of Children's Literature,"The course ""Children's Literature"" at Deakin University offers a graduate diploma that focuses on the study of childrens literature and its literary genres such as graphic narratives or magical realism through analysis techniques like storytelling methods and formats while developing critical thinking skills. The program is designed to offer students an opportunity for them to explore new voices, ideas, experiences in their field by collaborating with classmates and engaging in debates about various topics related to children's literature.",A641
Graduate Diploma of Midwifery,"The Deakin's Graduate Diploma course for midwives is an 18-month program that provides hands on experience and theoretical knowledge to prepare graduates who want a career change into the maternity health care sector with confidence. The Clinical Simulation Centres provide safe environments where students can practice essential skills while working alongside qualified clinicians at partner organizations, such as paid employment models or clinical only practices in Australia's healthcare system. Graduates have access to an intensive program that builds foundational knowledge and explores specialized areas of midwifery including pregnancy care, birth management, neonatal special care, emergency medical situations for newborns with complex needs (neonatal), postnatal care after childbirth, as well as maternal health issues such as hypertension or diabetes.",H676
Master of Teaching (Primary and Early Childhood),"The Master of Teaching (Primary & Early Childhood) program at Deakin University is designed to prepare graduates with a holistic understanding of how young people learn from birth up until grade 6 and are motivated to make an impact on future generations through their teaching careers in Australia. The curriculum focuses heavily on practical learning skills such as communication, adaptability techniques for modern-day classrooms, teacher/student relationships shaping students' connections within the school community or with themselves outside of it, collaboration between primary & early childhood educators along with secondary teachers to gain a well-rounded view of how young people learn and make sense of diverse topics in teaching. The program also includes professional placement opportunities where graduates can apply their knowledge through real classroom experiences while completing an assessment benchmarked against national standards for the Deakin Teaching Performance Assessment (DTPA).",E764
Master of Teaching (Primary and Secondary),"The Master of Teaching (Primary and Secondary) is an adaptable qualification that enables graduates to work at any level within a K-12 school or pivot between primary and secondary teaching roles. It offers transferrable skills such as well balanced relationships in the classroom promoting positive connections with peers which can be applied across various sectors, including education, youth work, corporate learning development etc., along with an invaluable mindset that fosters growth of students to thrive within a supportive environment where they feel valued by their teachers and other learners.",E765
Master of Teaching (Primary),The Master of Teaching (Primary) program at Deakin is designed to prepare primary school teachers with a holistic understanding of how young people learn through practical learning and adaptable techniques that will enable them classroom-ready graduates who are skilled educators and leaders in the field.,E762
Graduate Certificate of Education (International Baccalaureate PYP Early Years),"The Graduate Certificate of Education for Early Childhood/Primary Teachers aims at providing specialized skills required by early childhood educators who wish to work with the International Baccalaureate (IB) PYP program from a theoretical and practice-based understanding in inquiry learning through play. The course consists of units that cover Inquiry Learning Through Play, Assessing & Documenting Learning Environmentally/Symbolically, Planning for Inquiring Practice: Professional Portfolio Development, Teaching Children 3 to 8 Years with the IB Early Childhood Program (PYP), Collaborating and Assessment as a Unit Planner in an International PYP School. The 15-day fieldwork will be conducted under experienced early childhood teachers' supervision while planning units of inquiry through collaboration on assessment plans for students aged three years old up until eight years old, with the aim to develop their professional portfolio by teaching children from 3 to 8 years and assessing them in a global context that draws upon contemporary perspectives.",E511
Graduate Certificate of Higher Education (Learning and Teaching),"The Deakin University Teaching and Learning Innovation (T&L) Fellowship is designed for experienced teachers or academic leaders who wish to consolidate their knowledge of designing effective learning programs that engage diverse learners with 21st century digital technologies such as cloud-based platforms like Google Drive. The course focuses on teaching skills in creating digitally enriched, supportive environments while developing feedback assessment and evaluation strategies. It also emphasizes the importance of professional development for educators through continuous improvement practices within a community setting to enhance their knowledge base.",E510
Bachelor of Information Technology (Honours),The Bachelor's Information Technology (Honours) program at Deakin University is designed for students who are passionate about technology but also have a desire to gain practical experience and develop their skills through research projects supervised by industry professionals or supervisors in the field of IT.,S470
Graduate Certificate of Sport Performance Analysis,"The Graduate Certificate of Sports Performance Analysis is a one-year online program that teaches you how to use data analysis techniques for success while also providing hands on experience with video technology and performance software tools used by elite athletes. The course focuses not only in the technical skills but also provides leadership training as well as management capabilities, making it an excellent option if your career goals include working at a high level or managing others effectively within sports organizations such as clubs/teams, federations, governing bodies etc..",H514
Graduate Diploma of Professional Accounting,The Work Integrated Learning program at Deakin Business School provides students with real-world experience by engaging them directly on projects and assignments that are relevant to their future careers or job prospects within the finance unit of a large company such as BHP Billiton Limited.,M696
Master of Cyber Security (Professional),"The Master of Cyber Security (Professional) program prepares professionals for cyber security challenges and offers practical experience through industry-based learning opportunities with internationally recognized research staff or a period of study under the supervision of researchers at Oxford Brookes University in partnership with IBM UK. The course is ideal for those who have completed an undergraduate degree, such as information technology/computing students, to gain skills required by various security roles within business and government agencies like risk analyst, cyber-crime investigator, or chief cybersecurity officer (CCO).",S735
Master of Infrastructure Engineering and Management,The Master's program is designed to provide students with a comprehensive understanding of infrastructure engineering through the combination of project-based learning experiences at Deakin University and access to world class facilities such as Geelong Future Economy Precinct (GFEP) in Australia.,S758
Graduate Certificate of Information Technology,"The course ""Information Technology: A Practical Approach"" is designed to provide students with the essential knowledge and skills needed for employment across a range of industries or further studies related to information technology (IT). The program includes courses in software design engineering, web development, data structures/algorithms, programming languages such as Python & Java, databases management systems like MySQL, operating system concepts including file paths, network protocols with TCPIP and UDP. Students will gain practical experience through internships or projects that are relevant to the industry they wish to work for after graduation.",S578
Master of Infrastructure Engineering and Management (Professional),"The Master's program is designed to equip students with practical skills and knowledge necessary for a career in infrastructure engineering management through project-based learning opportunities at world class facilities such as the Deakin Engineering Training Precinct (DETP) which includes state of art equipment. The curriculum also offers access to research units that can lead towards further postgraduate qualifications, including masters by research or PhDs with completion requirements specific for each unit completed during their final year in study.",S759
Graduate Certificate of Cyber Security,"The Graduate Certificate of Cyber Security is a program that focuses on developing skills related to cyber-security and digital forensics through hands-on experience with real world scenarios using the latest technology available today such as cloud computing platforms like AWS or Azure for instance based learning. The course also includes knowledge about system security and analytics, organizational behavior in cybersecurity settings which are crucial areas of expertise that will be valuable when pursuing a cyber security career anywhere worldwide.",S535
Graduate Certificate of Education Research,The Graduate Certificate of Education Research at Deakin University offers a unique opportunity for students to gain foundational research skills while developing specialist expertise on an education topic chosen by the student or identified through industry thought leaders and experts within their field.,E590
Graduate Certificate of Professional Accounting,"The text discusses a graduate certificate program offered by the University College Dublin that provides students with flexibility to choose units based on their interests while also preparing for various career pathways such as becoming an accountant or applying for CA programs like those in Australia and New Zealand. The coursework includes modules covering accounting principles, finance theory, data analysis techniques, project management skills, presentation of results/reports, time-management strategies, team working methods, communication with clients (both face to face & online), marketing communications, business planning concepts, financial modeling tools for businesses; as well as a module on the use and application of software in accounting practice. The program also offers opportunities such as internships at local companies or participating in industry events/exhibitions while gaining practical experience through work placements with clients from various industries including retail & hospitality sectors, public sector organizations (e.",M506
Graduate Certificate of Health Economics,"The Graduate Certificate of Healthcare Management and Administration program is designed for individuals with an interest or background in healthcare management who want to advance their careers within the sector by acquiring advanced knowledge on health economics principles that shape healthcare systems such as microeconomics, economic evaluation resource allocation priority setting.",H504
Graduate Certificate of Strength and Conditioning,"The Graduate Certificate of Strength & Conditioning is a one-year online program designed for busy professionals who want to advance their career without committing too much time or effort towards an undergraduate degree. The curriculum focuses on strength and conditioning techniques in various areas such as power plyometrics, speed training, muscular endurance, aerobic/anaerobic capacity periodization, high intensity interval training recovery methods integrity, ethics & legal considerations communication with athletes and coaches management skills to lead a successful team while developing support staff for the athlete. The program is underpinned by science research produced at Deakin University's multi-disciplinary Centre of Sport Research (CSR) and Institute For Physical Activity And Nutrition (IPAIN).",H513
Graduate Certificate of Healthcare Management,"The course ""Graduate Certificate of Healthcare Management"" is designed to develop the essential skills and capabilities required for managing healthcare services both domestically within Australia or overseas through a combination of online learning modules with face-to-face sessions in Melbourne at Deakin Business School. The program aims to equip participants who are physicians, nurses, nurse practitioners, allied health professionals, or managers seeking advancement into more management roles such as business administration and MBAs/MBA Healthcare Management degrees upon successful completion.",M543
Graduate Diploma of Financial Planning,The Graduate Diplomas offered by DEAKIN are designed to meet the education requirements for financial planners and enhance their core knowledge skills required within a professional environment.,M669
Master of Business Administration (International),"The Deakin MBA (International) is an internationally-focused degree program designed for individuals seeking knowledge and skills necessary to succeed within a global environment while also developing the analytical, creative, interpersonal, research, scholarship, industry engagement, sustainability, social responsibility, ethical behavior. The course offers opportunities in business internships with overseas work integrated learning projects that will help develop your appreciation of key aspects such as people profit ethics environmentalism sustainable decision-making and current/future global trends while also offering the option to complement primary studies by pursuing a specialization within various fields related to businesses.",M751
Master of Construction Management (Professional),"The Master's degree program ""Construction Management Professional"" is designed for individuals who have a strong interest or background in the built environment industry but do not necessarily hold an undergraduate engineering/construction-related qualification.",S792
Master of Specialist Inclusive Education,"The Master's program at Deakin University is designed to equip primary and secondary teachers with advanced knowledge of contemporary education issues related to social justice policy implementation within school systems that cater for students who have diverse educational needs such as gender, sexuality, disability etc., while also providing them specialized skills like mentoring other educators or professionals involved in developing personalized inclusive programs. The program has close links with the industry and professional sector through recognized leaders/innovators ensuring relevance to their teaching careers after graduation.",E734
Bachelor of Arts (Honours),"The course ""Bachelor of Science: Honours"" is an optional year-long program that allows students to conduct independent studies on a topic they are passionate about and develop advanced research skills through work experience with experienced academics supervising them in the field's discourse. The aim for this degree path is to provide high achievers, who value independence thinking and enhanced career opportunities after graduation, access to various pathways such as masters or doctoral programs that enable further academic growth within their chosen fields of interest while maintaining a supportive environment at Deakin University where they can continue learning about subjects vital in the social sciences, humanities, literary studies.",A400
Graduate Diploma of Construction Management,"The Graduate Diploma of Construction Management is a program designed for graduates from related built environment disciplines looking to transition into the construction industry or with professional experience working on projects within public and private enterprises wanting formal recognition of their entry-level knowledge in building information modeling. The coursework covers topics such as project management techniques, environmental systems analysis, quantity surveying methods, BIM technology implementation, risk assessment strategies for buildings, design optimization principles, cost estimation procedures, construction contract drafting skills, bidding practices, change order processes and more to help graduates gain the necessary expertise required in a career within this field.",S691
Master of Business (Sport Management),The text provides an introduction to Deakin's Sport Management program with a focus on Australia and its strong sporting sector industry worth billions of dollars annually supported by business professionals providing direction for sports organizations at all levels from elite athletes down to recreational activities in the country.,M748
Graduate Certificate of Business Analytics,"The Graduate Certificate Business Analytics program at INSEAD aims to equip professionals with skills necessary for creating value from big data by solving decision-making challenges and identifying alternative solutions through critical thinking using digital technologies such as research tools like Excel or Tableau Software in the field of business analytics. The certificate is suitable for anyone who wants a career advancement, rising above their current position on the ""data"" ladder to become an expert at analyzing information from various sources with confidence while staying up-to date and informed about industry trends that can help them make better decisions as they progress through life's journey.",M561
Graduate Certificate of Marketing Technology,The Graduate Certificate of Marketing Technology at Deakin Business School is designed to equip marketing professionals with essential MarTech knowledge and capabilities needed for survival and thriving within the rapidly changing world of technology-enhanced marketing practice.,M560
Master of Sustainability,"The Master's program on Sustainable Development Goals is designed for individuals who want to build careers that affect positive change and develop an understanding of the sustainable development goals (SDGs). The course offers a flexible structure with opportunities throughout the degree process such as pursuing further research studies or industry practice. Guest lectures from key partners in sustainability are embedded into each unit, providing students with real-world experience on issues related to climate adaptation/mitigation, regional development and environmental management risk assessment control health promotion community consultation etc.,",S727
Executive Master of Sport Business,"The Executive Master of Sport Business is a program designed to provide experienced professionals with the necessary skills and knowledge needed for success within sports organizations such as clubs or leagues. The course focuses on business areas specific to sport including strategy, governance, management, marketing, fan engagement, workforce planning, industry regulation/negotiation, leadership & governance in addition to contemporary issues related to athletes' careers like mental health support programs that are relevant and context-specific for the sports industries such as football clubs or rugby teams. The program is delivered on Deakin's premium online learning platform which offers flexibility with a full year of study available at your own pace while balancing work, life & other commitments in just one to two years part time schedule depending upon individual needs/schedules and preferences for the course duration (6 units over 5 weeks).",M709
Graduate Diploma of Journalism,"The Graduate Diplomacy of Journalism course at the University College Dublin prepares students for success by teaching them skills such as multimedia journalism and cross-platform content creation to thrive within an evolving industry with a dynamic 24/7 news landscape that requires accurate reporting from versatile journalists. The program focuses on investigative journalism, feature writing, practice analysis, research investigation, interviewing, writing, and reporting while also offering complementary units in digital media design creative writing public relations or television production for flexibility throughout their career journey. Students gain hands-on experience through access to industry standard facilities such as professional TV studios with live streaming capabilities editing suites, a multimedia resource centre state of the art newsrooms that stream from around the world and pitch stories on DScribe student publication while securing an early placement opportunity in journalism or related field for further study upon successful completion.",A649
Graduate Diploma of Visual Communication Design,"The Graduate Diploma in Visual Communication Design is an intensive course that focuses on developing practical and theoretical skills for visual communications designers through a combination of contemporary thinking techniques required to practice design professionally while addressing the social cultural ethical implications involved with designing products or services as well. The program also covers historical graphic processes within both local and international contexts, offering students solid foundations in employment opportunities related to communication designs industry/continued study on this field",A638
Graduate Certificate of Artificial Intelligence for Business,The Business landscape has changed rapidly with the advancement of Artificial Intelligence (AI). The course provides knowledge and skills to introduce AI thinking into a business organisation by learning how formulate ethicallY responsible AI-driven business strategies using existing commercial software in marketing supply chain management finance.,M553
Graduate Certificate of Recruitment and Talent Acquisition,"The new Graduate Certificate in Recruitment & Talent Acquisition is a course designed by Deakin Business School with the support of RCSA to meet growing demand for skilled practitioners working within recruitment and talent acquisition industries worldwide. The program will equip graduates with practical skills such as identifying target audiences through market research techniques while also providing theoretical knowledge on employment relations, human resources management strategies, strategic staffing plans implementation using people analytics technology tools in forecasting workplace demands. Graduates of this course are well-equipped to succeed in a high demand industry and become experts within the field.",M514
Graduate Diploma of Public Health,"The Graduate Diploma of Public Health is an ideal course for anyone interested or passionate about public health who wants to make a difference through evidence-based action and initiatives that promote the wellbeing of individuals, communities, populations globally. The program focuses on improving existing healthcare environments by identifying priorities in population health; generating policies with equity as their primary goal; developing strategies aimed at promoting healthy lifestyles among disadvantaged groups such as low income families or those living alone without a partner/spouse to share household expenses and food insecurity due to financial constraints that prevent them from buying nutritious foods. The program also provides knowledge on the determinants of health, including environmental factors like air pollution which can cause respiratory problems in vulnerable populations; understanding how population-level interventions work by implementing policies aimed at reducing tobacco use among young people or increasing access to healthy eating options for low income families with limited resources and time constraints due to long working hours.",H647
Master of Creative Arts,"The Master of Creative Arts is an exciting opportunity for individuals who are passionate about the creative arts and want to develop their skills further through specialized study programs that focus on specific areas such as visual art or photography. The program offers a multi-disciplinary approach with courses in complementary disciplines like film writing, dance/drama production practice, marketing introduction of digital photography design thinking problem solving techniques along with practical experience working alongside creative thinkers from different backgrounds and completing projects under professional standard facilities including TV broadcast studios, studio spaces for visual arts & design. The program also offers opportunities to work on industry-relevant projects in teams while honing transferable skills like imaginative thought processes that are valued by employers today.",A759
Diploma of Spanish,"The Deakin's Diploma of Spanish is a language program that teaches communication skills through grammar, vocabulary development, sentence structure and cultural understanding within the context of Spain or other countries where it may be spoken by millions worldwide with over 400 million speakers on five continents. It also offers insights into culture and ways of life in these regions while providing opportunities for career advancement globally as an international language used across multiple cultures.",A224
Graduate Certificate of Counselling,"The course description for ""Counselling and Mental Health"" at Deakin University provides an introduction into counseling practice through a focus on mental health issues such as anxiety disorders, depression, trauma-related conditions like posttraumatic stress disorder (PTSD), eating disorders, substance use problems.",H558
Master of Advanced Nursing,"The Master's program at Deakin University is designed to prepare students for advanced roles within the nursing profession by providing them with a comprehensive education that includes core units and electives from across various areas of study such as clinical practice skills development in critical care settings. The coursework also focuses on evidence-based decision making, patient safety management strategies, quality improvement initiatives, leadership training programs to develop their professional judgement for advanced roles within nursing teams or organizations where they can make a significant impact with the help and support from experienced teaching staff members who are experts at what they do in clinical practice. The program is also designed as an online learning platform that allows students flexibility around work commitments while still maintaining high-quality education standards, making it easier for them to balance their studies without compromising on quality or access to expert teachers with a wealth of knowledge and experience within the nursing field.",H777
Master of Sustainability (Professional),"The Master's program is designed for professionals who want to develop advanced knowledge and skills related to sustainable development strategies that balance environmental considerations with economic growth while ensuring the ability of future generations meet their needs without limiting resources available today or in a few decades from now. The course provides options such as specialised study towards elective units, industry practice projects/interactions during guest lectures embedded into courses for an understanding and perspective on sustainability issues within real-world contexts to gain professional networks before graduation while building the degree program tailored according to career aspirations through flexibility of structure in a range from advanced research or further broaden skills.",S728
Graduate Diploma of Digital Media,"The Graduate Diplomas offered by the School of Communications and Creative Arts at RMIT are designed for media professionals who want to build their expertise across various digital platforms such as web design, social media content creation, online communities building, curation & marketing strategies.",A634
Master of Teaching (Early Childhood),"The course description provides an introduction to the Master of Teaching (Early Childhood) program offered by Deakin University and highlights its focus on developing emotional intelligence skills for young children through play-based learning environments that promote social justice, diversity, equity arts education in a child's life. The training pathways available include IB PYP Early Years Program or Educational Inquiry/Research Pathways to increase employability as an international teacher with experience placement opportunities and the Deakin Teaching Performance Assessment at graduation for confidence entering teaching profession roles.",E761
Graduate Certificate of Teaching English to Speakers of Other Languages,"The Graduat Certificate of Teaching English to Speaker's of Other Languages (TEESOL) is a specialised degree designed specifically for current educators looking to build specialized skills and become confident TEESOL teachers with pedagogical knowledge in the field of language teaching. It focuses on principles and approaches related to TESOL, including curriculum design evaluation structure analysis linguistic aspects text features written/spoken texts as well as their learning contexts contemporary issues relating to LANGUAGE CURRICULUM DEVELOPMENT research-led approach practical skills that translate directly into the classroom with interactive problem solving. Upon completion of this course and subsequent Master's program, graduates can pursue rewarding roles in TEESOL education or continue studying for even more professional development opportunities through a Graduate Diploma in TESOL E604 (8 units).",E504
Master of Social Work,"The Master of Social Work program at Deakin University is designed to provide students with advanced social work education and training that will prepare them for senior roles within the field while also developing their skillset through specialized units such as Collaborative Practice in Healthcare or Critical Reflection. The course offers a national perspective on current issues affecting society, providing opportunities to network both locally and globally among professionals from different fields of study who share similar values regarding social work practice. Graduates will be equipped with the necessary tools for success within their chosen careers while also gaining valuable skills that can enhance personal growth in any field they may pursue after graduation.",H703
Graduate Diploma of Psychology (Advanced),"The Graduate Diploma of Psychology (Advanced) is an APAC-accredited course that prepares students for a successful professional life by deepening their understanding and skills related to human behavior while building relationships with peers through networking opportunities in the field. The program offers advanced research techniques as well as practical applications such as client counseling, case management, mental health rehabilitation, public healthcare services, community welfare programs, among others. Graduates can apply for provisional registration upon completion of coursework requirements and meet certain standards set by Psychology Board Australia (PsyB).",H650
Bachelor of Psychological Science (Honours),"The Bachelor's degree program provides a solid foundation for pursuing careers related to psychology and preparing oneself for postgraduate studies such as Master of Psychology or Doctorate programs like the one mentioned above that include work placement opportunities during their final year in university. The research skills developed throughout this time will be invaluable tools when applying for provisional registration with the Australian Psychological Society (APS) upon graduation, allowing them access to a range of psychological assessment methods and understanding how psychology opinions are formed through case studies or other relevant experiences within industry professionals' workplaces.",H452
Graduate Certificate of Education (Trauma-Responsive Education),"The Graduate Certificate of Education (Trauma Responsive Practices) is an education program that aims at providing educators and practitioners with the skills necessary to create safe learning environments for children who have experienced trauma or adverse experiences such as abuse, violence, neglect, displacement.",E512
Bachelor of Medical Imaging,"The course ""Diagnostic Radiography"" is a highly specialized medical imaging program that focuses on the development of skills and knowledge necessary for becoming an X-ray technician or radiologic technologist through hands-on training in state-of-the art facilities. The curriculum covers topics such as basic radiation safety, equipment operation/maintenance, patient positioning techniques during exams, image acquisition methods (X-rays), imaging modalities used by professionals and the latest medical technologies available for clinical practice today. Students also gain practical experience through supervised placements in hospitals or private radioloy clinics across Australia to prepare them with skills that can easily transition into their future careers as radiologic technologists/technicians, X-ray technicians, radiology assistants, etc.,",H309
Associate Degree of Arts,"Deakin's Associate Degree program offers students the opportunity to gain skills and confidence necessary for success at university while also building their foundation units towards a bachelor degree through electives such as advertising anthropology design English - childrens literature etc.,",A250
Bachelor of Psychology (Honours),"Deakin University offers a Bachelor of Psychology (Honours) degree that is embedded with an honour's year and provides practical training for provisional registration on the Australian Psychological Society Register. The course covers various areas such as behavioural psychology, clinical neuroscience child development, cognitive psychology forensic studies in addition to covering broad areas like relationships and group psychology. Deakin University has strong partnerships with industry including government agencies which ensure graduates are ready-to face challenges confidently by employers who want graduates that can handle the demands of their roles effectively",H345
Bachelor of International Studies/Bachelor of Commerce,"The course ""Business Foundations: Global Application"" will provide students at Deakin University's Bachelor of International Studies/Bachelor of Commerce with an understanding and skillset to develop their business ideas globally through a combination of international learning experiences such as studying abroad or interning in foreign countries.",D338
Bachelor of Design,"The Bachelor's degree program at Deakin University is designed to develop a range of skills that will prepare students for careers within design and related fields such as graphic communication or advertising agencies. The curriculum includes courses on visual literacy, typography, color theory, digital media production techniques, project management, research methods, client relations, team building exercises, presentation strategies, and more. Students also have the opportunity to work with industry professionals in a supportive environment where they can develop their skills through real-world projects that are relevant for today's design landscape such as mobile app development or web 3D animation production techniques.",A319
Bachelor of Environmental Science (Environmental Management and Sustainability),"The Bachelor's degree program is designed to provide students with a comprehensive understanding of the environment through various courses such as Environmental Management & Sustainability; Coastal and Marine Environment; Pollution Control Technology; Water Resources Engineering; Wildlife Conservation Biology; Sustainable City Planning. The fieldwork opportunities are an integral part in gaining practical experience, which will be applied during professional work placements at relevant host organizations or industries where students can apply their skills to real-world problems related to the environment such as pollution control and water resources management among others. Through this program's unique approach of combining theoretical knowledge with hands on learning through fieldwork experiences, graduates are equipped for careers in various fields including environmental science, sustainability education, conservation biology, wildlife protection, coastal and marine engineering, sustainable city planning or even eco-tourism as well as related industries such as renewable energy.",S398
Bachelor of Exercise and Sport Science/Bachelor of Business (Sport Management),"The Bachelor of Exercise and Sports Sciences program is designed to provide students with a comprehensive education that combines academic knowledge from the field leader in Victoria (Bachelor of Sport Management) while also focusing on areas such as behavioural aspects of sport and exercise physiology human growth and ageing improved performance motor learning and development. The course offers an accredited pathway for individuals interested in becoming Accredited Exercise Scientists, which will allow them to register with Australian Sports Science Association and work within the industry. Additionally, students can gain practical experience through fieldwork experiences or working at a host sporting organization during their Sport Management Practi",D394
Bachelor of Construction Management (Honours),"The Bachelor of Construction Management (Honours) program at Deakin University offers a comprehensive education for individuals interested in the field of construction management and property development with an emphasis on practical learning experiences through industry placements or internships to gain real-world experience. The course covers areas such as building economics/law, practice, technology measurement & estimating project management quantity surveying techniques along with other relevant topics like site visits, international study tours etc., all of which are essential for a successful career in the construction field.",S346
"Bachelor of Politics, Philosophy and Economics","The course is designed for students who want to gain a deeper understanding of power dynamics within organizations by examining the relationship between ethics, sustainability, economics, and politics through real-world examples from various industries such as government policy making or business management consulting in Australia.",A336
Bachelor of Exercise and Sport Science,The Bachelor of Exercise & Sports Sciences program at Deakin University is a highly-ranked course that offers an accredited pathway for students to become eligible members and exercise scientists with the Australian Sport Science Association (ASS).,H343
Bachelor of Biomedical Science,"The Bachelor of Biomedical Science (BBS) is an undergraduate degree program that provides students with the knowledge necessary to become a successful biomedical scientist or healthcare professional through hands-on laboratory experiences and practical work placement opportunities within industry settings such as hospitals, pharmaceutical companies, research organizations. The flexibility in choosing specializations allows for customization based on personal interests while maintaining core competencies required by employers seeking highly skilled professionals like graduates of BBS programs are expected to be: analytical thinking skills; critical reasoning ability; communication proficiency (both written and oral); problem-solving abilities with a focus towards finding solutions that benefit patients or society as whole.",S323
Bachelor of Vision Science/Master of Optometry,"The article provides an introduction of Deakin University's Bachelor of Vision Science/Master of Optometry program and its focus on visual health issues impacting regional Australia with a strong emphasis on inter-professional collaboration to address the healthcare gap between urban populations in metropolitan areas. The course is designed for individuals interested in pursuing careers as optometrists, ophthalmologists or vision scientists who want job readiness upon graduation while gaining knowledge of optics clinical practice and treatment methods specific to eye health issues such as cataracts, glaucoma, diabetic retinopathy, macular degeneration, etc. The program also emphasizes the importance of ethical practices in optometry with a strong emphasis on patient care through inter-professional collaboration between ophthalmologists or vision scientists who are trained and experienced professionals at their respective fields while students gain knowledge about optics clinical practice specific to eye health issues such as cataracts, glaucoma, diabetic retinopathy, macular degeneration etc.",D302
