course_name,overview,requirements
Bachelor of Marine Science,"Study marine science at Deakin where you will have access to spectacular marine environments teeming with rich biodiversity on your doorstep. Become an expert in ocean systems by exploring a broad range of disciplines, including marine biology and ecology, oceanography, marine mapping, conservation, aquaculture, fisheries, marine and coastal management. The Bachelor of Marine Science equips you with the skills needed to create a sustainable future for the world’s oceans. You will learn from expert marine science teaching staff in labs and facilities equipped for exploring and understanding the biological, chemical and physical processes of life underwater. Our facilities are located at the doorstep of the Great Southern Reef where rocky shores, seagrass beds, mangroves and iconic surf beaches become your classroom. Want to join the growing marine science community to help grow a sustainable blue economy? Our Bachelor of Marine Science is a science-based and interdisciplinary course that aligns closely with the National Marine Science Plan. You will learn from a team of expert marine scientists and draw on the knowledge and experience of Australia’s leading marine research organisations, providing you with the science-based skill set in demand by employers in the marine sector. You will graduate ready to join the greater marine science community, applying new marine technologies and innovative approaches to manage and protect the world’s marine habitats and ecosystems. A diverse range of career opportunities awaits, in both research and applied fields, including: biodiversity conservation fisheries and aquaculture marine biochemistry and biotechnology marine biology and ecology marine management and policy microbiology and genomics oceanography remote sensing and modelling If you choose to undertake further postgraduate studies, including research training, you can specialise in a specific field of marine science.",Entry requirements
Diploma of Spanish,"Whether you are brushing up or starting from scratch with a whole new language, Deakin’s Diploma of Spanish is a great complement to your studies in any discipline. Through this diploma, you'll learn communication skills in Spanish and develop an understanding of Spanish culture and ways of life, plus you will gain a global perspective and boost your employability.Gain fluency by taking part in activities across a range of topics focusing on grammar, lexicons, vocabulary and sentence structure. You’ll also learn about cultural, historical sociolinguistic and political dimensions of the societies and cultures that make up the Spanish speaking world. Do you want to develop your language skills to build a global career? Spanish is a major international language with more than 400-million speakers on five continents. It’s the national language of more than 20 countries and the third most widely spoken language in the world (after Mandarin and English). Our Spanish language program allows you to gain proficiency in Spanish and provides insights into Spanish culture and ways of life. An optional in-country language program gives you the opportunity to spend time overseas studying the language and culture. In-country study* The in-country language program gives you the opportunity to spend time overseas studying language and culture in its own environment. You will develop further proficiency in Spanish, learning to converse, read and write about more complex topics and build upon your knowledge of grammar. For more information about the in-country language program please refer to the work-integrated learning website or contact the WIL team: artsed-wil@deakin.edu.au. *Overseas study programs to be confirmed in 2023 and beyond, subject to government travel restrictions.",Entry requirements
Graduate Certificate of Counselling,"Our Graduate Certificate of Counselling will provide you with essential knowledge and skills in counselling required to effectively and compassionately support individuals with mild or moderate mental health problems and normal developmental issues. The course has a particular focus on telecounselling and counselling diversity, both of which are of increasing importance and experiencing higher demand in Australia and globally.­­Want to expand on your current career in helping others or start a new career path in counselling? This course will be a perfect fit for you if you’ve considered a career related to counselling or would like to develop counselling expertise to support your current role and expand your career opportunities (i.e. support workers, social workers, teachers, student advisors, nurses, supervisors, managers, doctors, occupational therapists etc.). As a graduate, you will be armed with practical knowledge and expertise relating to counselling micro-skills, mental health issues, professional practice issues, and human development. By studying counselling with Deakin, you’ll be joining a university ranked well above world standard for our Psychology and Cognitive Sciences research.**Excellence in Research Australia (ERA) 2018 Alternative Course offerings You can choose to continue your studies in counselling by applying for our Graduate Diploma of Counselling. After successful completion of the Graduate Certificate of Counselling you will only need to complete four more units to graduate with the diploma level qualification.",Entry requirements Entry information English language requirements All applicants must meet the minimum English language requirements. Selection is competitive and meeting the minimum entry requirements does not guarantee selection. Entry requirements include: Bachelor Degree or higher OR two years relevant work experience OR evidence of academic capability judged to be equivalent Deakin University offers admission to postgraduate courses through a number of Admission categories.
Master of Advanced Nursing,"With job growth of 23.1% projected for nurse managers by 2026,* there is an industry demand for registered nurses with the analytical, practical, communication and leadership skills needed to take on senior roles across a range of health care settings. Deakin’s Master of Advanced Nursing prepares you for a senior position within a multidisciplinary team or to be a leading voice in nursing.Ranked 20th in the world,^ our School of Nursing and Midwifery is one of Australia’s largest and most established. You will learn from the best with the School’s cutting-edge research recognised as well above world standard.# You will graduate ready to advance your career, and work in leadership roles across nursing education, management, policy and research.Are you ready to open the door to roles in advanced practice, education, management, policy and research? The Master of Advanced Nursing prepares you to practice effectively at an advanced level. You will graduate with ethical, safe, high-quality and expert clinical decision-making skills. Plus, you will gain the specialised theoretical knowledge, evidence-based practice and person-centred care that is sought after in multidisciplinary teams. As an experienced registered nurse, you will be challenged to advance your professional judgement to become a leader in evidence-based practice, and a change agent to improve the quality of nursing care and patient outcomes within modern healthcare practice. We develop your clinical and leadership skills via core units. You will also have the opportunity to select from either a thesis or coursework stream to tailor the course according to your desired pathway. The coursework stream allows you to customise your degree to match your career aspirations. You can choose from a mix of course-specific or general electives from across the university. The thesis stream sets you up to pursue a research pathway upon graduation, with four dedicated thesis units and six elective units. Supported by a research supervision team and our expert staff you will create an individual research thesis. Our course curriculum is shaped by industry insights and research from Deakin’s Centre for Quality and Patient Safety Research (QPS). QPS is a leader in clinical research, quality and risk management, and has researchers within six of Victoria’s major health services. This means the course material is evidence-based, patient-focused and informed by academics, researchers and clinical experts who are leaders in their fields. Designed for postgraduate nursing students, our innovative online program delivers a rich, interactive and empowering learning experience that will encourage critical thinking, problem-solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff allow you to study flexibly around your work and other commitments, without compromising quality or support. Want to further your career in a shorter time? Check out our Graduate Diploma of Advanced Nursing (H675) or Graduate Certificate of Advanced Nursing (H575). Seeking to specialise in a specific area of nursing? See our Master of Advanced Clinical Nursing (H771) or associated graduate diploma and graduate certificate options with specialisations in cardiac, critical care, emergency, intensive care, intraoperative, perianaesthesia or perioperative nursing. https://www.deakin.edu.au/course/H771 *2021 Employment Outlook – for the five years to November 2026, Australian Government National Skills Commission. ^2022 ShanghaiRankings Ranking of Academic Subjects.","Entry requirements Entry information Bachelor of Nursing or equivalent, and Registration as a registered nurse with relevant statutory registration/licensing body with no conditions or restrictions and Applicants must have 12 months clinical experience as a registered nurse. Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note: meeting minimum entry requirements does not guarantee an offer of a place. Entry into this program is based on competitive selection and there may be limited places available. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Master of Sustainability (Professional),"Explore how humanity can meet its growing needs without limiting the ability of future generations to meet theirs in the Master of Sustainability (Professional). You’ll develop advanced knowledge and contemporary skills to develop successful sustainability strategies by applying multidisciplinary and ‘triple bottom line’ approaches to policy and management solutions, balancing environmental, social and economic considerations. You’ll build a solid foundation in sustainability, environmental science and global change before undertaking specialised study in an area of your choosing. This flexible course allows you to further tailor your degree to suit your career aspirations by providing a choice of options towards the latter part of your studies – advanced research, elective study, or a combination of elective study and industry practice. Whatever you choose, you’ll be equipped for a rewarding career affecting positive change. Ready to tackle complex sustainability issues head on? Issues of sustainability are complex and the need for skilled professionals capable of developing appropriate cost-effective and targeted solutions to these challenges are crucial for our future. That’s why a key focus of the Master of Sustainability (Professional) is developing an in depth understanding of the Sustainable Development Goals, which every member country of the United Nations is committed to achieving by 2030. The flexible structure of the course provides you with the opportunity to build the degree for the career you want. You’ll first acquire a solid foundation in sustainability before broadening your studies through pursuit of a specialisation that interests you most. Towards the latter part of your studies, you will have the option to either undertake a focused research project, industry practice or further broaden your skills through your choice of elective units spanning climate change adaptation and mitigation, regional development, environmental management, risk assessment and control, health promotion, community consultation and more. Connections to industry are an integral part of this course and ensures you have the opportunity to gain an industry perspective and establish professional networks prior to graduation. Guest lectures from key industry partners are embedded into the course to provide you with an understanding of sustainability issues in a real-world context.","Entry requirements Entry information Bachelor degree in related discipline with a WAM (or equivalent average grade indicator) of 60 OR Graduate Certificate or Honours Degree in a related discipline with a WAM (or equivalent average grade indicator) of 60 OR Bachelor degree in any discipline with a WAM (or equivalent average grade indicator) of 60 AND two years relevant work experience OR Evidence of academic capability judged to be equivalent. Deakin University offers admission to postgraduate courses through a number of Admission categories. To be eligible for admission to this program, applicants must meet the course requirements. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Graduate Diploma of Digital Media,"Designed in close consultation with industry, the Graduate Diploma of Digital Media prepares media professionals for the world's digital future. Build your expertise through extensive practical experience and access professional development opportunities that set you up for your next big role.Want to study and work at the forefront of digital media practice? In a world increasingly impacted by digital and online developments, professionals with a mastery of digital platforms are more sought-after than ever. As a result, a postgraduate qualification in digital media is incredibly valuable for career-minded content creators across media, marketing, journalism and public relations industries. You’ll graduate from the course as a confident digital storyteller, with the curiosity and desire to make a difference in the world through communication. The course trains you in skills that reflect the evolving needs of the industry. Explore, analyse, create and share digital content while learning how to creatively select and assemble media elements to develop personal or brand identities, stories and narratives. Some of our key areas of study include: designing for web social media content creation building online communities digital curation and marketing. Across all study areas are common themes of creative problem solving and collaboration – key capabilities of the modern digital media professional. You’ll also learn about entrepreneurship, creative business planning and developing a professional identity, giving you the confidence to build your brand from the ground up and nurture your ideas into content with impact. A highlight of the course is having the freedom to select elective units from any other postgraduate course in the School of Communication and Creative Arts. This allows you to expand your expertise beyond just digital media and develop complementary skills in areas you’re passionate about. As you progress through the course, you’ll see your specialist expertise grow through practical learning opportunities on and off campus. Get hands-on with: real-world assessment tasks, such as designing digital content strategies internships that allow you to develop digital media solutions for real clients. While a Graduate Diploma of Digital Media opens the door to many exciting digital roles in Australia and abroad, there are also opportunities for further study upon successful completion of the course. If you want to continue building your portfolio and take part in a professional capstone program, you might like to articulate into Deakin’s Master of Communication.","Entry requirements Entry information Entry will be based on performance in: a Bachelor Degree in any discipline OR a Graduate Certificate in any discipline OR at least two years of relevant work experience (or part-time equivalent) Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements.Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course.For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Bachelor of Health and Physical Education,"Develop the skills and knowledge and understanding to become a qualified secondary school health and physical education teacher with Deakin’s Bachelor of Health and Physical Education. Discover how to create safe, inclusive and engaging learning environments and provide experiences that support lifelong health and physical activity. Explore areas including applied sports science, biomechanics, and motor learning and development and discover the science and art of movement education and performance skills.Gain access to industry-standard resources and state-of-the-art facilities, including our Elite Sports Precinct and specialised teaching labs. This, combined with highly engaging and practical placements through our Professional Experience Program, means you will graduate motivated, well prepared and ready to embrace a meaningful career in education.Our growing population requires qualified professionals who can teach and advise on the benefits of health and physical education. Ready to make a difference? Deakin works closely with school partners and relevant organisations to deliver you customised learning experiences tailored to this degree. You will be learning about the biggest health issues facing our population – and the most effective ways to educate and build the capacity of young people in relation to them. As part of your core studies, you will experience and practice using a variety of engaging teaching approaches in health, physical education and your chosen third discipline. You will learn foundation knowledge about the human body, including anatomical and physiological terminology. Through mediums such as sport, gymnastics and dance, you will explore the science and art of movement and performance. Gain an understanding of how the body reacts to movement and the repercussions this has on various body systems (cardiovascular, respiratory, musculoskeletal and nervous systems). Choose a third discipline to pair with your core studies and advance your cross-disciplinary knowledge while gaining a competitive advantage for employment. You can choose disciplines including: biology chemistry dance (Burwood only) drama (Burwood only) English history home economics (Burwood only) mathematics. The Professional Experience Program is a key part of every Deakin teaching student’s course experience. Working with more than 1400 schools across Australia, we will arrange at least 80 days of placements for you in schools where you will learn from experienced teachers. You will also have access to specialised teaching spaces on campus to prepare for teaching. Give your studies a different perspective and take part in our Global Education Program*. You’ll get to experience remote communities in Australia and abroad, while gaining credit towards your degree. Learn about Aboriginal culture while teaching in remote communities in the Northern Territory, or head to countries including Vietnam and Switzerland and learn about intercultural education. Before beginning your studies, prospective teaching students need to successfully complete the Casper test – an online, video scenario-based test that lets you demonstrate your suitability for a teaching career. * Overseas study programs to be confirmed in 2022 and beyond, subject to government travel restrictions.",Entry requirements
Bachelor of Sport Development,"With Deakin's Bachelor of Sport Development, you’ ll examine the science of coaching as well as practical methods of encouraging health and wellbeing through participation and performance in sport. Explore sport pathways and coaching, as well as the marketing and management of sport, and turn your lifelong passion into a rewarding career.Deakin is the 6th-ranked university in the world for sport-related subjects^, largely due to our leading academics, industry connections, facilities and practical approach to learning. State-of-the-art sports precincts combined with a long list of sports partners – including the Geelong Cats, Netball Australia, Nike Australia, the Melbourne Boomers and Cricket Victoria – mean you’ll be studying in elite environments, both on and off campus. With over 200 hours of work placement, you can work alongside established professionals in sport while building industry experience that will prepare you for your future career.Want to make a difference to the health and wellbeing of individuals and communities through sport? If you are considering a degree in sport development, sport has likely had a positive impact on your life. With a Bachelor of Sport Development, you can enter a career that is all about ensuring current and future generations experience the benefits of sport, just like you. You will develop sport programs that improve health and social outcomes, and harness sport’s capacity to bring people together in times of need. In particular, you’ll learn how sport can be used as a powerful tool to rebuild and re-energise communities that have suffered inequality or social challenges. The study areas you’ll cover are relevant to the needs of the industry and give you a deep understanding of: sport systems programs and pathways contemporary health and community development approaches the organisation, management and governance of sport organisations. Looking for a career that takes you out of the stands and onto the field? The course also trains you in skills related to athlete development and on-field performance. Get practical experience developing coaching programs and sport development philosophies and discover what it takes to prepare individuals and teams for game day.Your studies will be enriched with real-world experience, and you'll have plenty of opportunities to apply your skills outside of the classroom. ^University Rankings",Entry requirements
Master of Teaching (Early Childhood),"Want to equip the next generation with the emotional intelligence, social and critical-thinking skills to flourish? Study a Master of Teaching (Early Childhood) and discover how to help young children learn important concepts like empathy and self-confidence through play. Graduate with the unique ability to shape the next generation as a nationally accredited early childhood teacher. Ready to start a meaningful career, shaping tomorrow’s leaders? Whether your background is in education or you’re looking to make a meaningful career change, this course will equip you with the knowledge to work across diverse early childhood settings. Our nationally recognised academics will guide you towards teaching expertise in areas such as: Developing numeracy and literacy in young learners Creating safe and inclusive learning environments Social justice, diversity and equity Arts and STEM creativity in a child’s life Play-based learning across all areas of the curriculum At Deakin, we’re focused on developing educational leaders for the future. That’s why we offer our Master of Teaching (Early Childhood) students the chance to develop in-depth knowledge through unique specialisation training pathways. One popular training pathway is in the International Baccalaureate (IB) PYP Early Years Program, which provides students with the skills to help develop young children as self-motivated and internationally minded learners. Specialising in the IB PYP Early Years Program can lead to international teaching opportunities and can help to increase your employability. You may alternatively choose to specialise in the Early Childhood Educational Inquiry or Research pathways, the latter of which may be used as a pathway to further study in a PhD. In addition, you will put your academic knowledge into practice with over 70-days of professional experience placements. The course is designed to blend your classroom experience with your academic learning, culminating in a final hurdle task, the Deakin Teaching Performance Assessment, that ensures you graduate with the experience and rigour you will need to enter the teaching profession with confidence. This practical experience ensures you graduate with the skills and expertise that are highly valued by employers. 96% of Deakin early childhood education graduates have gone on to secure roles in the early childhood education profession, which continues to generate new jobs at a steady rate. In addition, the Victorian Government offers a range of financial incentives to support students interested in studying the Master of Teaching (Early Childhood) at Deakin. More information can be found at education.vic.gov.au","Entry requirements Entry information Admission to study postgraduate coursework at Deakin is based on recognition of your professional experience and previous qualifications. Admission is based on: Bachelor degree in a different discipline or Bachelor degree in Primary or Secondary Teaching All applicants must complete an additional selection tool for non-academic attributes. Deakin University is using the Casper test. Casper is an online, video-scenario based situational judgement test, designed to measure non-academic suitability for teaching. Admissions information Applicant indicator profile report of all applicants applying to Deakin University Graduate Entry Teaching (GET) courses in Trimester 1, 2023.Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Bachelor of Science/Master of Teaching (Secondary),"Translate your passion for the study of sciences into a career that inspires others, with a Bachelor of Science/Master of Teaching (Secondary) at Deakin. Create unique course combinations with science specialisations and graduate as a qualified secondary school educator. This industry-led combined degree allows you to fast-track your studies and graduate with two degrees in just four years. You will explore a broad range of science disciplines before focusing on a specialisation. At the same time, develop the attributes, discipline-specific knowledge and professional behaviours required to practise as a secondary school teacher in Australia. Learn by doing and build practical experience through hands-on lab work, professional placements, work-integrated learning and international study experiences.Are you ready to join Australia’s largest profession? Start with Deakin’s Bachelor of Science and choose two science majors that will lead to your postgraduate specialisations. Create unique course combinations that when paired with teaching core unit, customise your degree and boost your employability. Study disciplines including: biology or general science chemistry or general science environmental science or general science mathematics. During your postgraduate studies, Deakin’s Professional Experience Program is a key part of your course, ensuring you have the practical skills needed from day one of your teaching career. Working with more than 1400 schools across Australia, we will arrange at least 60 days of placements for you in schools where you will learn from experienced teachers. You will have access to specialised teaching spaces on campus to prepare for teaching. Take part in our study abroad and work-integrated learning programs and gain invaluable experience you won’t find in the classroom. You’ll have the opportunity to be a part of our Global Science and Technology Program* or develop industry-relevant skills through our professional learning placements. Before beginning your Master of Teaching, prospective education students need to successfully complete the Casper test – an online, video scenario-based test that lets you demonstrate your suitability for a teaching career. * Overseas study programs to be confirmed in 2022 and beyond, subject to government travel restrictions.",Entry requirements
Graduate Certificate of Teaching English to Speakers of Other Languages,"Become qualified to teach English as an additional language with the Graduate Certificate of Teaching English to Speakers of Other Languages (TESOL). Get an introduction to the specialised skills and pedagogical knowledge required to lead TESOL programs, and graduate as a confident, in-demand TESOL and EAL teacher.Want to develop sought-after teaching skills that lead to career progression? The Graduate Certificate of Teaching English to Speakers of Other Languages (TESOL) is an internationally recognised degree designed for current educators looking to build specialised skills, as well as professionals from other backgrounds with a passion for teaching and language. A high demand for English teachers worldwide puts graduates in a strong position to unlock new career pathways in Australia and abroad. Under the guidance of accomplished academics with global experience in language teaching, you’ll be trained to teach English as an additional language in schools and adult-learning contexts. Key study areas include: principles and approaches to TESOL, including curriculum design and evaluation the structure of the English language and how to analyse features of written and spoken text linguistic and pedagogical aspects of language learning how languages are learned and in what contexts contemporary issues relating to language curriculum development. The course takes an interactive, problem-based approach to teaching. This allows you to develop practical skills that translate directly to the classroom. It also focuses on research-led learning, ensuring course content is evidence based, and the skills you learn reflect the modern challenges of the field. Upon completion of the course, you'll have the option of pursuing rewarding roles in TESOL education, or continuing your studies into the Master of Teaching English to Speakers of Other Languages. The Masters program builds on skills learned at the graduate certificate level, and broadens your industry experience with even more professional development opportunities. Primary or secondary teachers eligible for teacher registration in Australia can claim RPL (Recognition for Prior Learning) for this course for direct entry into the Master of TESOL E704; they may either complete the Masters (8 units) or exit the Master of TESOL after four units with the Graduate Diploma in TESOL E604. Please see the relevant course sites for course structures.","Entry requirements Entry information Entry will be based on performance in: a Bachelor degree or higher; OR at least two years of relevant work experience (or part-time equivalent); OR evidence of academic capability judged to be equivalent. Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Master of Social Work,"With a Master of Social Work, you’ll have the skills, experience and platform to protect the vulnerable, fight social injustice and help those from disadvantaged circumstances turn their lives around. Seek membership of the Australian Association of Social Workers (AASW) when you graduate and set yourself up for senior roles in a rapidly growing sector.Want to discover how your care for others, compassion and empathy can translate into a rewarding and successful career? You will study this course alongside a group of students that, while diverse, all share a common passion for helping others. Many join the course after completing a bachelor degree in a cognate discipline, such as psychology, allied health and nursing. Master of Social Work students who are working in the field are looking to develop advanced skills – skills that allow them to address more complex issues and have an even more profound impact on the people they work with. No matter where you come from, you’ll be joining a group that shares your values, and you’ll be given a platform to do more of what you love each and every day. Choosing social work at Deakin means you get to study specialised units that focus on the most significant social challenges in the world today. These include: Addressing Violence and Abuse Responding to Trauma, Grief and Loss Challenging Poverty and Social Exclusion Your studies will extend to other key areas of social work that give you a national and global perspective of the work currently being done in the field, such as: social and community development race and gender issues critical social work perspectives equity, power and diversity issues anti-oppressive and empowerment approaches to social work practice and policy. Another benefit of the course is our unique unit, Collaborative Practice in Healthcare. The unit includes students from social work, nursing, psychology, occupational therapy, optometry, medical imaging and medicine, giving you the chance to work alongside health professionals from different areas. Not only is this a great networking opportunity, it also provides a blueprint of what it takes to work effectively in a healthcare team. Develop skills in leadership, interprofessional conflict resolution, communication and patient-centred care, and graduate ready to thrive in team environments. The course is delivered on our flexible online learning platform, but that doesn’t mean you will miss out on practical learning opportunities. In fact, you will undertake at least 1000 hours of professional placement preparing you for all the challenges you’ll face in your future role. You can take on placements at a variety of organisations, broadening your experience and professional networks, and you’ll be supervised by qualified social work practitioners who can give you feedback and expert guidance along the way. The Master of Social Work is accredited by the Australian Association of Social Workers (AASW) and has even been recognised by the AASW for its commitment to ‘critically reflective practice’. That means you’ll graduate with a sought-after qualification and all the right skills for a rewarding career built on helping others.","Entry requirements Entry information Entry will be based on performance in: Bachelor degree in a related discipline, with two units in the study of human behaviour and two units in the study of society. Examples of units in human behaviour include anything behavioural science related, including: Psychology, research and policy related fields Counselling or therapeutic roles in areas such as play therapy, rehabilitation counselling, art therapy, music therapy, and disability and inclusion Clinical areas such as child development, drug and alcohol work, medicine, emergency services, working with older people, working with people with a disability, and education Allied health areas such as midwifery, occupational therapy/health, nursing, audiology, health promotion, physiotherapy Examples of units in study of society include: Social science Anthropology Political science International relations Community development Economics: with a health or social focus Health and sustainability Public health Health promotion, Geography Criminology Indigenous studies Applicants must have a recognised university qualification with at least two units in a study of the human behaviour and two units in the study of society. Preference may be given to applicants with relevant work experience. Selection criteria will also be based on undergraduate academic results.Please note: Graduates of the Bachelor of Social Work and Bachelor of Social Work (Honours) will not be admitted to the Master of Social Work. Graduates of that course are already eligible to apply for membership of the Australian Association of Social Workers (AASW) and can practice professionally throughout Australia. Inherent requirements Applications are accepted from students who possess the skills and prerequisites required to complete the course, gain professional certification and practise safely. The inherent requirements of the course are available here.Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Graduate Diploma of Psychology (Advanced),"If you are looking to build on the skills you’ve developed at the undergraduate level, the Graduate Diploma of Psychology (Advanced) is an APAC-accredited course that deepens your understanding of human behaviour while preparing you for a successful career as a registered psychologist.Want to explore exciting new areas of psychology and take a big step towards general registration as a psychologist? For students on the path to becoming a registered psychologist, who also want to learn from leaders in the field and build professional networks, the Graduate Diploma of Psychology (Advanced) ticks all the right boxes. It’s accredited by the Australian Psychology Accreditation Council (APAC), which means you can apply for provisional registration as a psychologist as soon as you complete the course and meet the requirements of the Psychology Board of Australia (PsyBA). It is also a pathway towards further postgraduate study, which you will need for general registration. Plus, postgraduate psychology at Deakin has reputation for teaching quality and is ranked number 1 in Victoria for student satisfaction*, so you can be confident you are joining a program that empowers you to be your best. The course can be studied on campus or online, giving you the flexibility to achieve your goals on your schedule. Throughout the course, you will build new skills that allow you to provide better advice, interventions and treatments to clients. Discover a range of advanced psychological assessment methods and gain a comprehensive understanding of what it takes to formulate psychological opinion in casework. One of the units, Client-Centred Skills in Practice, gives you the opportunity to learn about these applied techniques and how they could be used with clients in mental health settings. Acknowledging that research is an important tool of the modern psychologist, the course includes a number of research components that enhance your industry readiness. The research and analysis skills you learn will be incredibly valuable throughout your entire career. They will also prove crucial should you continue your studies at master or doctoral levels. What are your options once you finish this course? Once you meet the requirements of the Psychology Board of Australia, you can apply for provisional registration as a psychologist. If it’s general registration you’re seeking, your study journey continues. The Graduate Diploma of Psychology (Advanced) is a recognised fourth year (honours equivalent) pathway to the following APAC-accredited courses that lead to general registration as a psychologist: Master of Psychology (Organisational) – the only organisational psychology course in Victoria: offered on campus, full time and part time Master of Psychology (Clinical) Master of Professional Psychology Doctor of Psychology (Clinical). If you are not interested in becoming a registered psychologist, you will graduate from this course with sought-after skills and experience that allow you to enter the workforce and thrive in a variety of areas including community welfare and case management, mental health rehabilitation and public health. Learn more about psychology pathways and career outcomes","Entry requirements Higher education study If you successfully completed your bachelor degree, your selection is based on the following. Bachelor degree (with an APAC accredited three- year major sequence in psychology) with a minimum of a mid-credit (65%) in a level-three psychology Research Methods unit and a minimum average of 65% over all level-2 and level-3 Psychology core units, or A Foundation Level 1 APAC accredited Psychology course or equivalent (for example: a 3 year bridging course – Graduate Diploma of Psychology) with a minimum of a mid-credit (65%) in a level-three psychology Research Methods unit and a minimum average of 65% over all level-2 and level-3 Psychology core units. All applicants must meet the minimum English language requirements. Please read about other ways of satisfying the English language proficiency requirement. Applicants who have not completed their course by application closing dates: Conditional offers may be granted to eligible students. Final assessment will occur when we receive your final results. You will be able to allocate your timetable from the day you receive your offer and CONFIRM and ENROL in the units. If you have a conditional offer, the content will be made available for you until full assessment occurs. Selection is competitive and meeting the minimum entry requirements does not guarantee selection. Our Admission Criteria and Selection Policy outlines the principles of selection. All Applicants Applicants will be ranked on the basis of the marks achieved in the level-2 and level-3 HPS core units completed at Deakin University (or equivalent units completed elsewhere). This rank may also take into account marks achieved for level-2 or level-3 psychology core units (or their equivalent) completed at another institution and for which the applicant received recognition of prior learning.There is a quota on places in the Graduate Diploma of Psychology (advanced) program and meeting the criteria does not guarantee acceptance into Graduate Diploma of Psychology (advanced). It is worth noting that the minimum mark average of Level 2 and Level 3 psychology core units (i.e. the mark 'cut-off') required for entry to Graduate Diploma in recent years has been at or above 72%."
