course_name,o_summarized,overview
Graduate Certificate of Commerce,"The graduate certificate program is designed to provide students with foundational knowledge about commerce-related subjects that will serve them well for further postgraduate studies and career advancement opportunities within the field of business administration or related fields such as finance, marketing, human resources management etc. The curriculum includes courses in accounting systems analysis; financial planning & budgeting methods; data processing techniques including spreadsheets, databases, programming languages like SQL/JavaScript/Python to name a few that are essential for understanding and managing complex commercial transactions effectively.",The Graduate Certificate of Commerce introduces you to the fundamentals of commerce. It allows you to select a range of commerce-related subjects that will provide a broad base of business knowledge and application. This also serves as a foundation for further postgraduate studies in commerce and provides a direct pathway into both the Graduate Diploma of Commerce and the Master of Commerce.
Graduate Certificate of Writing and Literature,The Graduate Certificate of Writing and Literature is an entry-level course that provides a foundation for those interested in pursuing the Master's degree program.,"Turn your love for reading and writing into a successful career with the Graduate Certificate of Writing and Literature. Get an introduction to the craft and conventions of creative writing, professional writing and publishing, and use this course as a stepping stone into the Master of Arts (Writing and Literature).Ready to explore the work of great authors while developing your own writing skills? If you’re looking to change the narrative of your career, the Graduate Certificate of Writing and Literature gives you the skills and practical experience you need to take the next step. Discover how to make your words stand out from the sea of content that exists in today’s digital age and gain a deep understanding of the theory and craft stemming from traditional literature. The course attracts a diverse group of students with a shared passion for writing, from authors to marketers, lawyers to teachers, all striving to become confident writers and brilliant communicators.The course can be used as an entry point into the Master of Arts (Writing and Literature) and includes two core units from the masters program.You’ll then choose your remaining two units from a broad list of writing and literature study areas. This allows you to build specialist skills and design a degree based on your career aspirations. Importantly, the course provides more than just writing expertise. The projects and assessment tasks you work on train you in transferable skills, including critical analysis, communication, problem solving and research – incredibly valuable in every field of work. You’ll also get to debate literature, creativity and modern writing challenges with like-minded people from different corners of business and life. This exposure to new ways of thinking helps you develop as a writer and shows you how literature can be used to make sense of different aspects of culture, place and history."
Bachelor of Business/Bachelor of Arts,"The Bachelor of Business/Bachelor of Arts combined degree is designed to provide students with a rich career experience by combining their interests from both specializations such as business and arts or marketing and communication etc., which will equip them for various roles in the future. The flexibility offered allows customization based on individual preferences while learning core units, gaining practical experiences through work-integrated learning opportunities like internships/internship placements, mentoring programs to enhance their employability skillsets such as teamwork & intercultural communications and global experience by studying abroad or participating in study tours across Asia Europe North America.","Want a career rich with diverse experiences? The Bachelor of Business/Bachelor of Arts combined degree helps you build transferable skills that will equip you for a wide range of career opportunities, now and in the future. Enjoy opportunities to explore your creativity and the freedom to study more of what interests you, with a huge range of business and arts specialisations to choose from.By combining knowledge from both your specialisations, you can graduate with a unique skill set that sets you apart. For example, you can major in both media and communication and social media to develop dual expertise that is valued across all areas of business, media and marketing. Better still, you will gain plenty of practical experience that prepares you for the everyday challenges of business, including industry placements, work-integrated learning and overseas study tours.If you are aspiring to become a leader in business, why not graduate with a set of complementary skills that boost your employability? This course is perfect for students looking for a career in business, who also hope to switch between a variety of roles throughout their life. The business component of the degree trains you to think with an entrepreneurial mindset, developing the foundations of your business expertise. Study core units that have been determined by looking at emerging growth areas in industry such as financial literacy, marketing fundamentals and the global economy, then tailor your degree to your interests and career goals by choosing from the following majors: event management organisational psychology people management project management retail and supply chain management business and digital communication entrepreneurship and innovation sustainability and development. The flexibility doesn't stop there. Create a truly unique degree by choosing from a range of over 35 arts majors, from visual arts and photography and public relations studies to social media or visual communication design. This level of customisation allows you to study the units that are important to you, and the diverse skills you develop open the door to a world of career opportunities.Just as important as what you learn is how you learn it. Deakin Business School’s work integrated-learning (WIL) opportunities allow you to apply the skills you learn in the classroom in industry settings.You’ll solve practical business challenges, explore innovative and emerging business trends and prepare for the nuances of international business relationships. This practical experience is invaluable – there is no better way to prepare yourself for the everyday, practical challenges of modern businesses. The networks you create through WIL placements can be of significant benefit to your career. Be ready for your chosen industry by taking on a variety of other practical learning opportunities including: mentoring volunteering consulting internships. You can also improve your global employability skills in teamwork and intercultural communication by gaining international experience across Asia, Europe or North America through overseas internships and study tours."
Bachelor of Commerce/Bachelor of Business Analytics,"The Bachelor of Commerce/Bachelor of Business Analytics program at Deakin University is designed to provide students with a strong foundation and skillset for success both within the business world and beyond their careers through commerce-related majors such as Accounting Economics Finance Financial Planning Human Resource Management. The dual degree offers exposure in all areas of commerce, including Marketing which can be further specialized by taking additional courses like Project management or Commercial Systems Processes & Workflows to gain practical experience with real work environments within the industry and government sectors respectively.","Data is the future of business. Deakin’s Bachelor of Commerce/ Bachelor of Business Analytics helps you build a foundation of commerce and business analytics knowledge to help you become invaluable to future employers worldwide. Develop critical analysis skills to turn data into strategies that drive business success. Learn how to interpret data and information and combine it with a strong foundation in all areas of commerce to unlock innovative solutions for business. The commerce component of this dual degree is designed to help you find a professional fit and passion for a discipline. Led by teachers who are active in their fields, the business analytics component is informed by IT professionals from leading technology companies, business and the government sector. With such strong connections to industry, you will consistently be exposed to the latest strategies and trends, keeping you ahead of the game well before you enter it. Want to analyse complex data systems through in-demand business skills? Your commerce component will take you to all areas of business and give you the opportunity to specialise with a choice of majors including: Accounting Economics Finance Financial planning Human resource management Management Marketing. In the business analytics stream of the degree, you'll develop critical thinking and analysis skills through topics like: business intelligence and data warehousing data analysis information architecture information security and governance planning commercial systems processes and workflows professional and business ethics project management. You'll also have the opportunity to get hands-on experience with a work-integrated learning unit, with options for community-based volunteering, team projects or business internships."
Master of Leadership,"The Master's program is designed specifically for students who have progressed from the Graduate Certificate or meet additional entry requirements to complete advanced leadership training and gain relevant skills such as business transformation through technology disruption, changing customer needs, challenging external environments, driving results while engaging others in a journey.","The Master of Leadership provides advanced leadership training for students who have progressed from the Graduate Certificate of Leadership, or those who meet the additional entry requirements. In addition to completing core units, you will complete 10 professional practice credentials plus a research capstone unit, where you can undertake a workplace-based research project on leadership. Recognise the capabilities displayed by pivotal leaders, through integration of theoretical investigation and professional practice, within this specialist program. Learn to drive results while engaging others in the journey, and discover what it takes to transform an organisation to deal with technology disruption, changing customer needs and challenging external environments. The emphasis for this program is on developing relevant skills, contemporary knowledge, and real experience, to ensure you graduate as a business leader of tomorrow. Delivered on our premium online learning platform, this flexible program is designed for busy professionals who want to study and immediately apply the knowledge and skills obtained through the course, in their own workplace. The Professional Practice Credential Assessment complements this course, and allows you to provide evidence of your knowledge, skills, abilities, and experience for assessment, to obtain a suite of credentials that recognise your professional expertise."
Bachelor of Psychological Science,"The Bachelor's degree program at Deakin University is designed specifically towards preparing students with a strong foundation of knowledge and skills to pursue careers related to psychology or counseling/coaching through the provision for 140 hours real-world experience in industry placements as well as core units. The course also offers specialist majors such as Child, Family & Organizational Studies, Forensic Psychology, Human Social Behavioural Neuroscience, Cognitive Psychopathology, Personality and Individual Differences that are relevant to various career paths within psychology or related fields like counselling/coaching which can be pursued after the Bachelor's degree program is completed. The course also offers a Graduate Certificate of Counsellng in addition to an accredited Diploma of Counselling for further education opportunities towards professional registration as counselors, psychologists and counsellors respectively.","Curious about what makes people think, feel and behave the way they do? Deakin's Bachelor of Psychological Science covers many aspects of human behaviour and personality, and prepares you for a range of careers in the fast-growing health sector.^ The course also sets you up to pursue further study towards provisional registration as a psychologist. Core employability-orientated units and the option of undertaking 140 hours of real-world experience with an industry placement will strengthen your employment prospects and help you graduate work-ready. This course is offered at Burwood, Geelong, Warrnambool and online, so you can study where and when it suits you and our flexible trimester system means you can fast-track the course over two years of full-time study. Deakin is also the only university in Victoria where you can study specialist psychology majors during your undergraduate degree, so you can pursue your interests early on with a major in Child and Family, Organisational Studies or Forensic Studies. Do you want to learn from psychology professionals and be exposed to real-world workplace experience? Deakin’s School of Psychology is one of the largest in Victoria. It has strong partnerships with industry, including collaborative activities with government agencies, public and private organisations, hospitals and other universities. These partnerships ensure your degree remains relevant to industry and workforce needs. You will be in high demand by employers who want graduates that are ready to face real-world problems with confidence. This course recognises the importance of, and relationships between, a range of human factors you will encounter in your future career. You will explore diverse areas of psychology, including: behavioural and clinical neuroscience child and adolescent psychology human social behaviour cognitive psychology psychopathology personality and individual differences forensic psychology You will also have the opportunity to develop your counselling and coaching skills through Applied Counselling Skills core units, and/or through one of our online postgraduate counselling courses. Graduate Certificate of Counselling Graduate Diploma of Counselling The Bachelor of Psychological Science is recognised for registration purposes by the Psychology Board of Australia and enables you to undertake additional study in pursuit of professional registration as a psychologist. The course is also accredited by the Australian Psychology Accreditation Council (APAC). If you want to become a psychologist, this course is a pathway to a fourth year of study (honours or graduate diploma level). After completing a fourth year of study, you will be eligible to apply to register as a provisional psychologist. Students wishing to become fully registered psychologists can then apply to continue their studies by undertaking one of the following: Master of Psychology (Clinical) Master of Psychology (Organisational) Master of Professional Psychology Doctor of Psychology (Clinical). A psychology qualification can prepare you for many diverse, exciting career paths. While some psychology graduates go on to become registered psychologists, many others will pursue roles in complementary professions or entirely different fields. The course’s Psychology in Practice units will ensure you graduate with work-ready skills and provide you with alternative employment pathways. Careers in psychology-related fields are always evolving, visit deakin.edu.au/psychology-careers to discover the exciting range of careers that you could pursue. ^2021 Employment Outlook - for the five years to November 2026, Australian Government National Skills Commission."
Graduate Diploma of Communication,"The Graduate Diplomas of Communication are designed with a flexible learning environment that allows students to collaborate on projects while gaining practical experience through internships and work-integrated learning opportunities (WIL). The course content is updated regularly in line with technological advancements within the industry. Students can choose from various study paths such as journalism, television production or public relations among others which will enhance their employability skillset for future roles that require these areas of expertise.","Take your career to new heights in an industry famed for its progression and pace. Advance your current skillset, expand your professional network and actively contribute to real industry challenges. Looking for an adaptable communications qualification that will solidify your expertise and boost your employment opportunities? With unprecedented advancement in technology and the increasing globalisation of business enterprises, strategic communication and critical thinking skills are a highly valued, modern-day commodity. Deakin’s Graduate Diploma of Communication gives you the specialist knowledge and skills to empower you to thrive in roles that influence and shape opinion. Tailor your degree to your career goals – undertake intensive study in journalism, television production, public relations, digital media, or visual communication design, or explore cross-disciplinary study. Enjoy a flexible, supported and stimulating learning environment, while collaborating with like-minded students, including those already working in industry. Learn from experienced staff and experts in the field, who ensure our course content stays up to date with the latest technological advances, industry demands and market conditions. Explore theoretical concepts and frameworks and learn how to apply them in a practical setting. With internship and work-integrated learning (WIL) opportunities available, you can enhance your employment capabilities while expanding your professional networks. The Graduate Diploma of Communication is also an articulation pathway into the Master of Communication. Should you be interested in continuing your studies, you can apply for recognition of prior learning (RPL) upon successful completion of this course. Whether you’re looking to upskill, change roles or challenge yourself in a new discipline, you’ll graduate a holistic and adaptable communications practitioner well-prepared for the inevitable industry advances, challenges, and opportunities yet to come."
Master of Digital Learning Leadership,"The Master of Digital Learning Leadership is an online course that focuses on developing the skills needed for leadership and success within digital education organizations. The program includes theory exploration through micro-credentials such as problem solving ability, collaboration effectiveness, cultural engagement, innovation thinking, research writing experience with expert supervisors in educational fields to build a portfolio showcasing your expertise while building new industry connections.","The future of education is no longer paper-based – it’s digital and ever-changing. Develop the specialist skills and expert knowledge to lead educational organisations through change with the Master of Digital Learning Leadership. Through this specialised online course, you’ll explore the theory of digital learning design, learn how to apply it in projects, developing a portfolio, as well as forming new industry connections. Do you want to lead in the field of digital education? While digital learning has been a growing force in the education industry for a number of years, there are few formal qualifications. Deakin’s masters degree allows professionals currently working in the field to have their experience professionally recognised, at the same time building on their knowledge with the latest research and best of industry practice. You’ll reflect on the key skills needed to succeed and lead in digital education through micro-credentials – including the ability to problem-solve, collaborate effectively, engage with a range of cultures, think innovatively, and much more. Then, in the research units, you’ll get the opportunity to learn how to conduct educational research and apply your digital learning practices to write a research paper with expert supervisors."
Master of Energy System Management (Professional),The Master of Energy System Management (Professional) program at Deakin University is designed to provide students with a comprehensive understanding and practical skillset for designing energy management systems that can be applied globally through industry-based placements or internships in renewable energy projects.,"Engineering offers an exciting future with an increasing demand for graduates globally. With ambitious renewable energy targets being set around the world, there is increasing global demand for skilled senior engineers who can design, manage and maintain new distributed energy grid systems. The Master of Energy System Management (Professional) focuses on practical and real-world problems that blend project-based and workplace learning. This professional program extends your knowledge in energy management systems through a unique blend of engineering, IT and science units. With a focus on practical learning, and the opportunity to undertake an industry-based placement, you will graduate career-ready and with the capacity to apply your skills to real-world problems. Upon graduation, you will be equipped with the knowledge and skills to tackle problems associated with energy systems that include efficiencies, renewable and alternative solutions, and policy. Want to develop real-world solutions to global energy challenges? Deakin's School of Engineering is leading the way in cutting edge research in this area and developing innovative solutions for industry. You will have world-class facilities and equipment at your fingertips with access to Deakin's state-of-the-art engineering precinct and the Geelong Future Economy Precinct (GTP). This is home to the Renewable Energy Microgrid, Institute for Frontier Materials (IFM), Institute for Intelligent Systems Research and Innovation (IISRI), CSIRO Materials Science and Engineering and the Australian Future Fibre Research and Innovation Centre. Throughout the degree you'll develop unique strengths to work collaboratively in professional teams to develop evidence-based engineering solutions. You will acquire critical-thinking, innovative problem-solving and entrepreneurial skills. These are what employers are looking for to satisfy the growing need for intelligent energy systems and the increasing use of renewable and alternative energy sources in residential and commercial applications. As a graduate, you'll possess the necessary skills to work as a highly skilled engineer with expertise in Energy System Management. You will be qualified to take responsibility for interpreting technological possibilities for society, business and government. You will help to ensure policy decisions are properly informed, including that costs, risks and limitations are properly understood as the desirable outcomes."
Master of Information Systems,"The Master of Information Systems program at Deakin University is designed for students who want a career that combines business and information systems principles with technology-inspired change management skills to solve complex problems within organizations or governments worldwide. The curriculum covers the strategic use of digital transformation in eBusiness applications as well as an understanding of specific areas such as supply chain, project management, stakeholder analysis, negotiation/specification requirements for any solution that may involve technological changes and business analytics principles (AI strategy &amp;&nbsp;management or Business Analytics). The program also offers a specialisation option to deepen knowledge in particular fields like AI Strategy Management.","The mass adoption of social media, the accumulation of large amounts of data and the advances in new technologies such as business analytics and artificial intelligence have made information central to most aspects of work and life. Digital information has revolutionised the way we do business. Its capture, strategic use and associated technology in the business environment is focal to the discipline of information systems. Created in response to the rapid growth in the use of information systems and eBusiness applications by businesses and governments internationally, Deakin’s Master of Information Systems enables you to develop specialist skills in digital transformation, eBusiness and business-oriented principles and practices of information systems. You’ll explore the strategic use of information in a business and policy context, while gaining a sound technical understanding in specific areas of information systems, particularly information security, supply chain management, and project management. Learn about the principles and practices of stakeholder analysis, identification of business needs, problems and opportunities, analysis, negotiation and specification of requirements for any solution that may involve technology-inspired change. You’ll also have the option to complement your primary studies in information systems with a specialisation in a wide range of business-related fields (e.g. AI strategy and management or business analytics). Designed to meet industry demand for skilled professionals with a breadth of transferable skills, a specialisation can help deepen your knowledge in a particular business field and benefit your future career. Develop quantitative reasoning skills so that you can review business performance to find problems, areas of opportunities, and trends in data using business analytics. Explore data-driven, evidence-based approaches to business decision making and business performance analysis, and gain an understanding of business metrics. As a graduate, your project management skills will be well-honed to ensure you’re able to implement best practice relationship building, communication and resourcing to support your project aims."
Master of Applied Sport Science,"The Master of Applied Sports Sciences is a highly sought-after degree program that prepares students for careers within the sports industry by providing them with practical skills and knowledge to enhance their performance analysis abilities while also developing leadership capabilities through studies in management training programs such as Leadership Development Program (LDP) or Culture & Change Management. The curriculum focuses on critical thinking, evidence based decision making processes using research from Deakin's multi-disciplinary Centre for Sport Research (CSR), Institute of Physical Activity and Nutrition (IPAN). Students gain access to world class facilities through the Specialised Indooor Exercise and Sports Science Teaching Building in Melbourne as well as Elite Regional Sporting Precincts.","This industry-leading degree prepares you for the full spectrum of challenges faced by sport scientists and high-performance managers working at all levels of sport, from local to elite level. You will graduate with 220 hours of professional practice, or with the knowledge and skills to pursue entry into a PhD. Through our partnerships and your placements, you’ll build advanced skills and networks that open the door to senior roles.If you are looking to elevate your career, why not do it with the number one sport science school in Australia?* Jobs in the sports industry are set to rise in the next five years.^ But that doesn’t mean sport scientists expecting career growth can afford to be complacent. An industry that demands so much of its athletes also demands practitioners who are committed to self-improvement and finding new ways of optimising performance. Deakin’s Master of Applied Sport Science prepares you for this pursuit. It provides valuable professional development opportunities and trains you in skills that give you an edge in a competitive job market. You’ll study at the cutting-edge of sport science, access world-class facilities and benefit from extensive industry partnerships that help move your career forward. The course prepares you for both the technical and managerial aspects of high performance sport. Build specialised skills in: high-performance management advanced sport performance analysis strength and conditioning training design and program evaluation scientific processes for sport scientists. Complement these skills by boosting your management capabilities through studies in leadership, culture development and continuous improvement. These management skills don’t just make you more employable – they give you the ability to implement systems to optimise opportunities for team success and allow you to develop your support staff as well as your athletes. Importantly, you will get to practise your new skills in simulated and real sports science settings. Just a few examples of these practical learning experiences include: 220 hours of professional practice – work at an organisation that matches your career aspirations and see what it’s like to be a leading voice within a high performance team. Research projects – work with a supervisory team to produce a critical review of literature that can be published in a journal relevant to your career path – and be ready for entry into a PhD. Hands-on access to world-class facilities – study, work and play at our new multi-million dollar Specialised Indoor Exercise and Sport Science Teaching Building and Elite Regional Sports Precinct. The curriculum is underpinned by science and research. You will graduate with the ability to critically evaluate and apply research to make confident, evidence-based decisions in your role. Better still, you will have direct access to academics with expertise in a broad range of sport science and nutrition fields. This includes specialist researchers within Deakin’s multidisciplinary Centre for Sport Research (CSR) and Institute for Physical Activity and Nutrition (IPAN). These ties to industry extend to our extensive partnerships. We have a network of over 150 industry connections, including Netball Victoria, Geelong Football Club, Deakin Melbourne Boomers, Cricket Victoria, Swimming Australia, Tennis Australia and the Victorian Institute of Sport. This gives our sport science students a big advantage. It means that everything you study is closely linked to the state of the industry. It also gives you the opportunity to learn alongside established professionals, building relationships that shape your career. The Master of Applied Sport Science is available on our premium online learning platform. This gives you the flexibility to study when and where you want, so you can complete your degree on your terms. *Shanghai Ranking's Global Ranking of Sport Science Schools and Departments 2021^ Australian Government 2018 Occupation Projections"
Bachelor of Design (Architecture)/Bachelor of Construction Management (Honours),"The Bachelor of Design (Architecture)/Bachelor of Construction Management is a unique degree that combines studies on architecture with construction management to prepare graduates for careers within the built environment industry. The course offers practical experience through hands-on projects and studio environments while also providing theoretical knowledge in design principles such as computer aided modelling, digital fabrication drawing skills, measurement estimation project planning techniques, building economics laws of constructions technology law, environmental sustainability practices, etc., all aimed at preparing graduates for a diverse career within the industry.","Deakin’s Bachelor of Design (Architecture)/Bachelor of Construction Management (Honours) is a unique degree that combines studies in key aspects of the built environment. Explore architectural ideas and design approaches while learning how to manage construction projects, no matter their scale or scope. Gain in-depth knowledge and skills in architecture, design, construction and project management, while exploring your options for a diverse career in the built environment industry.With an emphasis on practical learning, you will gain plenty of hands-on experience with opportunities for industry placements and involvement in real-world projects. Develop creative process and practical skills by exploring design, drawing, digital fabrication, measuring, estimating, project management and construction knowledge. Graduate workplace-ready with opportunities for site visits, international study tours and exchange.Want to launch your career on the world stage? The Bachelor of Design (Architecture)/Bachelor of Construction Management (Honours) qualifies you to work in Australia or overseas, in more than 50 countries. It offers an excellent mix of hands-on practice and theory, so that you graduate job ready. While studying a combined course in architecture and construction management you’ll learn about: architectural history, theory and design computer-aided modelling and digital fabrication drawing and model making as part of the design process building economics and law building practice measurement and estimation project management quantity surveying construction technology building science and the environment. Within this course, you will work closely with other architecture and construction management students, creating a multidisciplinary learning experience that stands out to potential employers. It will also allow you to better recognise the mindset and drivers of an architect or construction manager when working together in industry. Our location in Geelong gives us a unique environment to explore urban and regional issues and multiple scales of projects. We are positioned to connect the city to regional Victoria through our learning experiences and research, opening up opportunities to examine our community’s sustainability and resiliency through our design-based investigations. With the design (architecture) component of this course, you’ll gain practical skills studying real-world projects in a studio environment and develop your ability to generate, analyse and communicate your own ideas. You will learn to integrate creative thinking with the practical and technical necessities of the real world, and develop skill sets that allows you to examine and shape the places we inhabit, including all building types, spaces and locations. The construction management component will give you the skills to manage small-to-large projects that need knowledge across construction technology and processes, resource management, law, information technology, environmental management and construction economics. Your learning space will include Deakin’s purpose-built a+b studio open 24/7 providing an open plan space to work collaboratively, share ideas and develop your projects. There is access to our architecture workshop that offers you a place to fabricate models and experiment with technology, materials and processes. The workshop is fully equipped with 3D printers, laser cutters, CNC routers and traditional tools and machinery."
Bachelor of Laws/Bachelor of International Studies,"The DeaKin Law Clinic is an accredited law school located at University of Melbourne offering a range of courses including contracts law legal practice and ethics criminal law and procedure torts property law constitutional law administrative law with opportunities to study abroad through the program's international experiences. Graduates will be well-rounded thought leaders in their respective fields, equipped for careers without limits due to its competitive foundation provided by experienced teachers who are active practitioners of various areas within a field that is constantly evolving such as contracts and torts which have been shown to increase job prospects over time according the Bureau of Labor Statistics. The program's hands on approach through real-world experiences like conducting research, offering advice in court proceedings under supervision from qualified solicitors will provide graduates with practical knowledge needed for success within their chosen career paths while also providing a competitive foundation upon graduation that sets them up to succeed without limits due to its first rate reputation and industry connections.","Build an international legal career and develop competitive skills with cross-cultural relevance in Deakin's Bachelor of Laws/Bachelor of International Studies. Learn about and analyse the forces shaping Australia, investigate the internationalisation of the law, and apply it all at a global level through Deakin's study abroad experiences.Deakin's hands-on approach to study and practical experience includes opportunities to study abroad, and to build on your classroom learning by working on real cases at the Deakin Law Clinic. Under supervision from qualified solicitors, you will conduct research on legal issues, offer advice and sit in on real courtroom proceedings. Graduate from this accredited course with two in-demand degrees, setting yourself up for a career without limits.Want to take your legal career to the world stage? Our first-rate law school provides a competitive foundation in all major areas of law, including: contracts law legal practice and ethics criminal law and procedure torts property law constitutional law administrative law. Gain access to the latest concepts, ideas and approaches by learning from teachers who are active in the field, and benefit from networking with their industry connections. You'll graduate a well-rounded thought leader with the practical knowledge that organisations and future employers are looking for."
Bachelor of Zoology and Animal Science,"Deakin University offers a Bachelor's degree program with an emphasis on animal science and ecology that focuses specifically on Australian fauna such as koalas and kangaroos through the study of their physiology, behavior, evolution, adaptation to changing environments (climate change), disease ecologies. The course is designed for individuals interested in careers related to animals or who want a career with an emphasis on animal welfare/conservation issues while also developing technical skills such as research techniques used by scientists and practical knowledge about the form of function that animals exhibit under different environmental conditions, their adaptations over time (ecological evolution), disease ecology. The program is supported through teaching staff members sharing your passion for wildlife who will provide hands-on learning experiences in labs or field settings with living subjects to gain a first hand understanding of animal behavior and physiology as well as the underlying mechanisms that influence ecological processes such as reproduction, growth rate etc.,","Through Deakin’s Bachelor of Zoology and Animal Science, you will explore the social and economic impact that human activity has on animals and their ecosystems. Investigate how animals respond and adapt to changes in the environment, including climate change, with a strong focus on Australian fauna and its unique importance in the global environment. Apply the latest research techniques to test hypotheses in the real-world and develop evidence-based decision-making skills valued by industry. You will work with living subjects in the lab and field, giving you a first-hand understanding of the form and function of animals and the underlying mechanisms that influence their ecology and evolution. You will also learn broadly about how animals respond to changing environments over time. Best of all, your journey will be supported by teaching staff who share your passion for animals. Interested in a career that cares for the future of our furry and feathered friends? If you’re fascinated by the way animals behave, adapt, evolve and survive, you’re not alone. Animal enthusiasts choose Deakin to turn their passion into a rewarding career because of our research-informed teaching and practical approach to learning. This hands-on approach ensures you will develop the technical and practical expertise required, as well as the communication, teamwork and critical-thinking skills to equip you for future roles in the field. As you advance through the course, you will be exposed to many unique aspects of zoology. These include physiological and behavioural adaptations to environmental change, disease ecology, animal sensory neurobiology and behaviour, as well as ecological and conservation genetics. The wide range of core units will broaden your skill set, expanding your career options across the growing zoology and animal science field. How you will learn is as important as what you will learn. Start preparing for your future career by undertaking a discipline-specific industry work placement. Study animals working alongside academic staff who aren’t just teachers, but researchers at the forefront of their respective fields."
Graduate Certificate of Digital Finance,"The Graduate Certificate of Digital Finance is a course designed to equip students with the essential skills needed for success within finance roles that are relevant across various industries and seniorities such as analyst positions or regulatory technology compliance (regtech). The program focuses on understanding digital transformation in financial markets through technologies like artificial intelligence, blockchain, data analytics, cryptocurrency. It also emphasizes developing fundamental knowledge of these tools to work with the essential concepts behind new products/services within finance roles that are applicable across various industries and seniorities such as analyst positions or regulatory technology compliance (regtech).","As the finance industry undergoes a digital transformation, are you positioned for the career opportunities already emerging from new financial technologies? Artificial intelligence, blockchain, data analytics and cryptocurrency are just a few of the technologies transforming the finance industry. These innovations are allowing new players, products and business models to come to the fore, forcing established institutions to catch up, and changing the industry for good. Deakin’s Graduate Certificate of Digital Finance will position you for success in the fintech era by equipping you to work with the essential tools and concepts of digital finance. You will develop fundamental knowledge of the digital transformation of financial markets, understand the technologies behind new financial products and services and gain critical insights into the ways data analytics empowers financial decision making. The learning from Graduate Certificate of Digital Finance is applicable to all kinds of finance roles and seniorities. But, early career candidates will find the course particularly valuable for analyst roles, including financial, credit, investment, digital banking, or regulatory technology and compliance (regtech)."
Graduate Certificate of Disability and Inclusion,"The Graduate Certificate of Disability and Inclusion is an online course that offers flexible delivery options for busy students who want to advance their careers without committing too much time or energy into a Master's degree program. The curriculum focuses on disability theory, practice in the sector, as well as international developments related to human rights law such as UNCPRD conventions. Students have access to leading researchers and academics embedded within this field of study while also being challenged by current legislation updates relevant for their future careers working with people living disabilities or those who work closely alongside them like NDIS professionals.","Start working in disability sooner or build on your current skills and experience with a Graduate Certificate of Disability and Inclusion. Complete your course in just one year, and graduate with a contemporary understanding of disability that prepares you for the exciting roles emerging within the sector.Are you ready for a rewarding career in disability but not ready to commit to a Masters degree? Flexible online delivery and a short study duration make this course a popular choice for busy students looking to progress their career, in the disability sector. Study four core units, which are consistent with core units from the Master of Disability and Inclusion, and feel confident about contributing to more inclusive, accessible communities once you graduate. If, upon successful completion of the course, you want to dive deeper, you have the option to continue your studies by continuing on with the Master of Disability and Inclusion and completing eight more units including a major research project. The course is deeply connected to people with disability, the disability industry, the organisations that work within it and the communities they serve. Many of our students have lived experience with disability – either their own or that of someone close to them. Our academics are embedded within the field, contributing to research of global significance. And our curriculum is responsive to contemporary international and national developments in disability legislation, policy, research and practice. The topics you will cover are informed by leading disability theory and practice. In fact, the curriculum has been carefully designed to meet the needs of the contemporary disability sector you will be working in once you graduate. For example, you will gain an expert understanding of what underpins high quality individualised planning – a key feature of the NDIS in Australia, and used internationally to uphold the rights of people with disabilities embedded in the United Nations Convention on the Rights of Persons with Disabilities. (UNCRPD). Projects are anchored to developments and policies within the sector. You might be challenged to critically analyse recent updates to legislation. You also have the option of basing your assessment tasks on your current practice, weekly context or lived experience. This allows you to apply your skills instantly to the communities and contexts in which you engage. A highlight of the course is building relationships with your fellow students and the academic team. Students in the Graduate Certificate of Disability and Inclusion come from a range of disciplines and backgrounds, ensuring your learning experience is vibrant and engaging. Our academic staff are leading nationally and internationally recognised researchers, making them great mentors, as well as teachers. Additionally, our partnerships with key organisations such as the NDIS, and other peak government and non-government disability organisations, as well as our international partners including the United Nations, and key disability researchers and advocates across the globe means the door will be open to professional networks and exciting employment opportunities. A constant connection to people with lived experience of disability makes your study experience richer and highly relevant. It also allows you to see the world through the eyes of a person with a disability, giving you a real and valuable perspective on inclusion."
